,text,concept
128,Wave of K-pop stars test positive for Covid-19 amid surge in South Korea  https://t.co/iZRakHcQIE :superjunior :iKon :hyolyn,"['pop star', 'test positive', 'covid', 'amid', 'surge', 'korey', 'POSs', 'south']"
129,"Omicron subvariant appears more contagious, but not more severe, Denmark says  https://t.co/SPw9HffxSe  https://t.co/3yZEPvuW54","['omicron', 'appear', 'contagious', 'severe', 'subvariant', 'more']"
130,England lifts COVID-19 restrictions as Omicron threat recedes  https://t.co/rQLAudvZfl  https://t.co/6hPYJQb8hp,"['lift', 'covid', 'restrictions', 'omicron', 'threat', 'recede', 'england']"
131,NZ home international cricket schedule shuffled over COVID-19 concerns  https://t.co/Itl9pw77Pb  https://t.co/MZPL4ds0u6,"['home', 'ternate', 'shuffle', 'covid', 'concern', 'schedule']"
132,Moderna starts trial testing Omicron-specific COVID-19 booster shot  https://t.co/jpSiK3f4BY  https://t.co/iw3P0X461Y,"['trial', 'testing', 'omicron', 'specific', 'covid', 'booster', 'starts']"
133,"Pfizer, Moderna shots safe during in vitro fertilization: healthy gut bacteria may help prevent long COVID  https://t.co/A1KR6aYbEq  https://t.co/ECYXcGQckt","['vitro fertilization', 'safe', 'healthy', 'gut', 'bacteria', 'help', 'prevent', 'covid', 'shots', 'long']"
134,DFB bans German coach over fake COVID-19 vaccine certificate  https://t.co/bhvDSbFZYg  https://t.co/nYKDZeKOWf,"['bane', 'ache', 'fake', 'covid', 'vaccine', 'certificate', 'german']"
135,US has sent 400 million COVID-19 vaccine doses to 112 nations: White House  https://t.co/tNDHpPoqGs  https://t.co/mIeJCTZMEX,"['covid', 'vaccine', 'dose', 'nation', 'house', 'white', 'million']"
136,"Fed's Powell:  - Other risks include lockdowns, supply chain issues, geopolitical tensions  - Covid is not over, it could continue to harm growth","['include', 'supply', 'chain', 'issues', 'geopolitical', 'covid', 'continue', 'harm', 'growth', 'risks', 'lockdowns', 'tensions']"
137,Fed's Powell:  - Economy has shown great strength in the face of many challenges  - Economic growth this quarter will be hit by Omicron variant,"['in face', 'economic growth', 'economy', 'strength', 'challenges', 'quart', 'hit', 'omicron', 'variant', 'shown']"
138,COVID-19 cases at highest ever in Americas: Regional health agency  https://t.co/9NSt3ppJLN  https://t.co/XDUbqcPbvV,"['covid', 'highest', 'regional', 'health', 'SADNESS']"
